,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
84,85,2,1,17.0,0,0,10.5,1
85,86,3,1,33.0,3,0,15.85,1
86,87,3,0,16.0,1,3,34.375,1
87,88,3,0,29.0,0,0,8.05,1
88,89,1,1,23.0,3,2,263.0,1
89,90,3,0,24.0,0,0,8.05,1
90,91,3,0,29.0,0,0,8.05,1
91,92,3,0,20.0,0,0,7.8542,1
92,93,1,0,46.0,1,0,61.175,1
93,94,3,0,26.0,1,2,20.575,1
94,95,3,0,59.0,0,0,7.25,1
95,96,3,0,29.0,0,0,8.05,1
96,97,1,0,71.0,0,0,34.6542,2
97,98,1,0,23.0,0,1,63.3583,2
98,99,2,1,34.0,0,1,23.0,1
99,100,2,0,34.0,1,0,26.0,1
100,101,3,1,28.0,0,0,7.8958,1
101,102,3,0,29.0,0,0,7.8958,1
102,103,1,0,21.0,0,1,77.2875,1
103,104,3,0,33.0,0,0,8.6542,1
104,105,3,0,37.0,2,0,7.925,1
105,106,3,0,28.0,0,0,7.8958,1
106,107,3,1,21.0,0,0,7.65,1
107,108,3,0,29.0,0,0,7.775,1
108,109,3,0,38.0,0,0,7.8958,1
109,110,3,1,27.0,1,0,24.15,3
110,111,1,0,47.0,0,0,52.0,1
111,112,3,1,14.5,1,0,14.4542,2
112,113,3,0,22.0,0,0,8.05,1
113,114,3,1,20.0,1,0,9.825,1
114,115,3,1,17.0,0,0,14.4583,2
115,116,3,0,21.0,0,0,7.925,1
116,117,3,0,70.5,0,0,7.75,3
117,118,2,0,29.0,1,0,21.0,1
118,119,1,0,24.0,0,1,247.5208,2
119,120,3,1,2.0,4,2,31.275,1
120,121,2,0,21.0,2,0,73.5,1
121,122,3,0,29.0,0,0,8.05,1
122,123,2,0,32.5,1,0,30.0708,2
123,124,2,1,32.5,0,0,13.0,1
124,125,1,0,54.0,0,1,77.2875,1
125,126,3,0,12.0,1,0,11.2417,2
126,127,3,0,29.0,0,0,7.75,3
127,128,3,0,24.0,0,0,7.1417,1
128,129,3,1,27.0,1,1,22.3583,2
129,130,3,0,45.0,0,0,6.975,1
130,131,3,0,33.0,0,0,7.8958,2
131,132,3,0,20.0,0,0,7.05,1
132,133,3,1,47.0,1,0,14.5,1
133,134,2,1,29.0,1,0,26.0,1
134,135,2,0,25.0,0,0,13.0,1
135,136,2,0,23.0,0,0,15.0458,2
136,137,1,1,19.0,0,2,26.2833,1
137,138,1,0,37.0,1,0,53.1,1
138,139,3,0,16.0,0,0,9.2167,1
139,140,1,0,24.0,0,0,79.2,2
140,141,3,1,27.0,0,2,15.2458,2
141,142,3,1,22.0,0,0,7.75,1
142,143,3,1,24.0,1,0,15.85,1
143,144,3,0,19.0,0,0,6.75,3
144,145,2,0,18.0,0,0,11.5,1
145,146,2,0,19.0,1,1,36.75,1
146,147,3,0,27.0,0,0,7.7958,1
147,148,3,1,9.0,2,2,34.375,1
148,149,2,0,36.5,0,2,26.0,1
149,150,2,0,42.0,0,0,13.0,1
150,151,2,0,51.0,0,0,12.525,1
151,152,1,1,22.0,1,0,66.6,1
152,153,3,0,55.5,0,0,8.05,1
153,154,3,0,40.5,0,2,14.5,1
154,155,3,0,29.0,0,0,7.3125,1
155,156,1,0,51.0,0,1,61.3792,2
156,157,3,1,16.0,0,0,7.7333,3
157,158,3,0,30.0,0,0,8.05,1
158,159,3,0,29.0,0,0,8.6625,1
159,160,3,0,29.0,8,2,69.55,1
160,161,3,0,44.0,0,1,16.1,1
161,162,2,1,40.0,0,0,15.75,1
162,163,3,0,26.0,0,0,7.775,1
163,164,3,0,17.0,0,0,8.6625,1
164,165,3,0,1.0,4,1,39.6875,1
165,166,3,0,9.0,0,2,20.525,1
166,167,1,1,27.0,0,1,55.0,1
167,168,3,1,45.0,1,4,27.9,1
168,169,1,0,29.0,0,0,25.925,1
169,170,3,0,28.0,0,0,56.4958,1
170,171,1,0,61.0,0,0,33.5,1
171,172,3,0,4.0,4,1,29.125,3
172,173,3,1,1.0,1,1,11.1333,1
173,174,3,0,21.0,0,0,7.925,1
174,175,1,0,56.0,0,0,30.6958,2
175,176,3,0,18.0,1,1,7.8542,1
176,177,3,0,29.0,3,1,25.4667,1
177,178,1,1,50.0,0,0,28.7125,2
178,179,2,0,30.0,0,0,13.0,1
179,180,3,0,36.0,0,0,0.0,1
180,181,3,1,27.0,8,2,69.55,1
181,182,2,0,29.0,0,0,15.05,2
182,183,3,0,9.0,4,2,31.3875,1
183,184,2,0,1.0,2,1,39.0,1
184,185,3,1,4.0,0,2,22.025,1
185,186,1,0,29.0,0,0,50.0,1
186,187,3,1,27.0,1,0,15.5,3
187,188,1,0,45.0,0,0,26.55,1
188,189,3,0,40.0,1,1,15.5,3
189,190,3,0,36.0,0,0,7.8958,1
190,191,2,1,32.0,0,0,13.0,1
191,192,2,0,19.0,0,0,13.0,1
192,193,3,1,19.0,1,0,7.8542,1
193,194,2,0,3.0,1,1,26.0,1
194,195,1,1,44.0,0,0,27.7208,2
195,196,1,1,58.0,0,0,146.5208,2
196,197,3,0,29.0,0,0,7.75,3
197,198,3,0,42.0,0,1,8.4042,1
198,199,3,1,27.0,0,0,7.75,3
199,200,2,1,24.0,0,0,13.0,1
200,201,3,0,28.0,0,0,9.5,1
201,202,3,0,29.0,8,2,69.55,1
202,203,3,0,34.0,0,0,6.4958,1
203,204,3,0,45.5,0,0,7.225,2
204,205,3,0,18.0,0,0,8.05,1
205,206,3,1,2.0,0,1,10.4625,1
206,207,3,0,32.0,1,0,15.85,1
207,208,3,0,26.0,0,0,18.7875,2
208,209,3,1,16.0,0,0,7.75,3
209,210,1,0,40.0,0,0,31.0,2
210,211,3,0,24.0,0,0,7.05,1
211,212,2,1,35.0,0,0,21.0,1
212,213,3,0,22.0,0,0,7.25,1
213,214,2,0,30.0,0,0,13.0,1
214,215,3,0,29.0,1,0,7.75,3
215,216,1,1,31.0,1,0,113.275,2
216,217,3,1,27.0,0,0,7.925,1
217,218,2,0,42.0,1,0,27.0,1
218,219,1,1,32.0,0,0,76.2917,2
219,220,2,0,30.0,0,0,10.5,1
220,221,3,0,16.0,0,0,8.05,1
221,222,2,0,27.0,0,0,13.0,1
222,223,3,0,51.0,0,0,8.05,1
223,224,3,0,29.0,0,0,7.8958,1
224,225,1,0,38.0,1,0,90.0,1
225,226,3,0,22.0,0,0,9.35,1
226,227,2,0,19.0,0,0,10.5,1
227,228,3,0,20.5,0,0,7.25,1
228,229,2,0,18.0,0,0,13.0,1
229,230,3,1,27.0,3,1,25.4667,1
230,231,1,1,35.0,1,0,83.475,1
231,232,3,0,29.0,0,0,7.775,1
232,233,2,0,59.0,0,0,13.5,1
233,234,3,1,5.0,4,2,31.3875,1
234,235,2,0,24.0,0,0,10.5,1
235,236,3,1,27.0,0,0,7.55,1
236,237,2,0,44.0,1,0,26.0,1
237,238,2,1,8.0,0,2,26.25,1
238,239,2,0,19.0,0,0,10.5,1
239,240,2,0,33.0,0,0,12.275,1
240,241,3,1,27.0,1,0,14.4542,2
241,242,3,1,27.0,1,0,15.5,3
242,243,2,0,29.0,0,0,10.5,1
243,244,3,0,22.0,0,0,7.125,1
244,245,3,0,30.0,0,0,7.225,2
245,246,1,0,44.0,2,0,90.0,3
246,247,3,1,25.0,0,0,7.775,1
247,248,2,1,24.0,0,2,14.5,1
248,249,1,0,37.0,1,1,52.5542,1
249,250,2,0,54.0,1,0,26.0,1
250,251,3,0,29.0,0,0,7.25,1
251,252,3,1,29.0,1,1,10.4625,1
252,253,1,0,62.0,0,0,26.55,1
253,254,3,0,30.0,1,0,16.1,1
254,255,3,1,41.0,0,2,20.2125,1
255,256,3,1,29.0,0,2,15.2458,2
256,257,1,1,27.0,0,0,79.2,2
257,258,1,1,30.0,0,0,86.5,1
258,259,1,1,35.0,0,0,512.3292,2
259,260,2,1,50.0,0,1,26.0,1
260,261,3,0,29.0,0,0,7.75,3
261,262,3,0,3.0,4,2,31.3875,1
262,263,1,0,52.0,1,1,79.65,1
263,264,1,0,40.0,0,0,0.0,1
264,265,3,1,27.0,0,0,7.75,3
265,266,2,0,36.0,0,0,10.5,1
266,267,3,0,16.0,4,1,39.6875,1
267,268,3,0,25.0,1,0,7.775,1
268,269,1,1,58.0,0,1,153.4625,1
269,270,1,1,35.0,0,0,135.6333,1
270,271,1,0,29.0,0,0,31.0,1
271,272,3,0,25.0,0,0,0.0,1
272,273,2,1,41.0,0,1,19.5,1
273,274,1,0,37.0,0,1,29.7,2
274,275,3,1,27.0,0,0,7.75,3
275,276,1,1,63.0,1,0,77.9583,1
276,277,3,1,45.0,0,0,7.75,1
277,278,2,0,29.0,0,0,0.0,1
278,279,3,0,7.0,4,1,29.125,3
279,280,3,1,35.0,1,1,20.25,1
280,281,3,0,65.0,0,0,7.75,3
281,282,3,0,28.0,0,0,7.8542,1
282,283,3,0,16.0,0,0,9.5,1
283,284,3,0,19.0,0,0,8.05,1
284,285,1,0,29.0,0,0,26.0,1
285,286,3,0,33.0,0,0,8.6625,2
286,287,3,0,30.0,0,0,9.5,1
287,288,3,0,22.0,0,0,7.8958,1
288,289,2,0,42.0,0,0,13.0,1
289,290,3,1,22.0,0,0,7.75,3
290,291,1,1,26.0,0,0,78.85,1
291,292,1,1,19.0,1,0,91.0792,2
292,293,2,0,36.0,0,0,12.875,2
293,294,3,1,24.0,0,0,8.85,1
294,295,3,0,24.0,0,0,7.8958,1
295,296,1,0,29.0,0,0,27.7208,2
296,297,3,0,23.5,0,0,7.2292,2
297,298,1,1,2.0,1,2,151.55,1
298,299,1,0,29.0,0,0,30.5,1
299,300,1,1,50.0,0,1,247.5208,2
300,301,3,1,27.0,0,0,7.75,3
301,302,3,0,29.0,2,0,23.25,3
302,303,3,0,19.0,0,0,0.0,1
303,304,2,1,27.0,0,0,12.35,3
304,305,3,0,29.0,0,0,8.05,1
305,306,1,0,0.92,1,2,151.55,1
306,307,1,1,27.0,0,0,110.8833,2
307,308,1,1,17.0,1,0,108.9,2
308,309,2,0,30.0,1,0,24.0,2
309,310,1,1,30.0,0,0,56.9292,2
310,311,1,1,24.0,0,0,83.1583,2
311,312,1,1,18.0,2,2,262.375,2
312,313,2,1,26.0,1,1,26.0,1
313,314,3,0,28.0,0,0,7.8958,1
314,315,2,0,43.0,1,1,26.25,1
315,316,3,1,26.0,0,0,7.8542,1
316,317,2,1,24.0,1,0,26.0,1
317,318,2,0,54.0,0,0,14.0,1
318,319,1,1,31.0,0,2,164.8667,1
319,320,1,1,40.0,1,1,134.5,2
320,321,3,0,22.0,0,0,7.25,1
321,322,3,0,27.0,0,0,7.8958,1
322,323,2,1,30.0,0,0,12.35,3
323,324,2,1,22.0,1,1,29.0,1
324,325,3,0,29.0,8,2,69.55,1
325,326,1,1,36.0,0,0,135.6333,2
326,327,3,0,61.0,0,0,6.2375,1
327,328,2,1,36.0,0,0,13.0,1
328,329,3,1,31.0,1,1,20.525,1
329,330,1,1,16.0,0,1,57.9792,2
330,331,3,1,27.0,2,0,23.25,3
331,332,1,0,45.5,0,0,28.5,1
332,333,1,0,38.0,0,1,153.4625,1
333,334,3,0,16.0,2,0,18.0,1
334,335,1,1,27.0,1,0,133.65,1
335,336,3,0,29.0,0,0,7.8958,1
336,337,1,0,29.0,1,0,66.6,1
337,338,1,1,41.0,0,0,134.5,2
338,339,3,0,45.0,0,0,8.05,1
339,340,1,0,45.0,0,0,35.5,1
340,341,2,0,2.0,1,1,26.0,1
341,342,1,1,24.0,3,2,263.0,1
342,343,2,0,28.0,0,0,13.0,1
343,344,2,0,25.0,0,0,13.0,1
344,345,2,0,36.0,0,0,13.0,1
345,346,2,1,24.0,0,0,13.0,1
346,347,2,1,40.0,0,0,13.0,1
347,348,3,1,27.0,1,0,16.1,1
348,349,3,0,3.0,1,1,15.9,1
349,350,3,0,42.0,0,0,8.6625,1
350,351,3,0,23.0,0,0,9.225,1
351,352,1,0,29.0,0,0,35.0,1
352,353,3,0,15.0,1,1,7.2292,2
353,354,3,0,25.0,1,0,17.8,1
354,355,3,0,29.0,0,0,7.225,2
355,356,3,0,28.0,0,0,9.5,1
356,357,1,1,22.0,0,1,55.0,1
357,358,2,1,38.0,0,0,13.0,1
358,359,3,1,27.0,0,0,7.8792,3
359,360,3,1,27.0,0,0,7.8792,3
360,361,3,0,40.0,1,4,27.9,1
361,362,2,0,29.0,1,0,27.7208,2
362,363,3,1,45.0,0,1,14.4542,2
363,364,3,0,35.0,0,0,7.05,1
364,365,3,0,29.0,1,0,15.5,3
365,366,3,0,30.0,0,0,7.25,1
366,367,1,1,60.0,1,0,75.25,2
367,368,3,1,27.0,0,0,7.2292,2
368,369,3,1,27.0,0,0,7.75,3
369,370,1,1,24.0,0,0,69.3,2
370,371,1,0,25.0,1,0,55.4417,2
371,372,3,0,18.0,1,0,6.4958,1
372,373,3,0,19.0,0,0,8.05,1
373,374,1,0,22.0,0,0,135.6333,2
374,375,3,1,3.0,3,1,21.075,1
375,376,1,1,27.0,1,0,82.1708,2
376,377,3,1,22.0,0,0,7.25,1
377,378,1,0,27.0,0,2,211.5,2
378,379,3,0,20.0,0,0,4.0125,2
379,380,3,0,19.0,0,0,7.775,1
380,381,1,1,42.0,0,0,227.525,2
381,382,3,1,1.0,0,2,15.7417,2
382,383,3,0,32.0,0,0,7.925,1
383,384,1,1,35.0,1,0,52.0,1
384,385,3,0,29.0,0,0,7.8958,1
385,386,2,0,18.0,0,0,73.5,1
386,387,3,0,1.0,5,2,46.9,1
387,388,2,1,36.0,0,0,13.0,1
388,389,3,0,29.0,0,0,7.7292,3
389,390,2,1,17.0,0,0,12.0,2
390,391,1,0,36.0,1,2,120.0,1
391,392,3,0,21.0,0,0,7.7958,1
392,393,3,0,28.0,2,0,7.925,1
393,394,1,1,23.0,1,0,113.275,2
394,395,3,1,24.0,0,2,16.7,1
395,396,3,0,22.0,0,0,7.7958,1
396,397,3,1,31.0,0,0,7.8542,1
397,398,2,0,46.0,0,0,26.0,1
398,399,2,0,23.0,0,0,10.5,1
399,400,2,1,28.0,0,0,12.65,1
400,401,3,0,39.0,0,0,7.925,1
401,402,3,0,26.0,0,0,8.05,1
402,403,3,1,21.0,1,0,9.825,1
403,404,3,0,28.0,1,0,15.85,1
404,405,3,1,20.0,0,0,8.6625,1
405,406,2,0,34.0,1,0,21.0,1
406,407,3,0,51.0,0,0,7.75,1
407,408,2,0,3.0,1,1,18.75,1
408,409,3,0,21.0,0,0,7.775,1
409,410,3,1,27.0,3,1,25.4667,1
410,411,3,0,29.0,0,0,7.8958,1
411,412,3,0,29.0,0,0,6.8583,3
412,413,1,1,33.0,1,0,90.0,3
413,414,2,0,29.0,0,0,0.0,1
414,415,3,0,44.0,0,0,7.925,1
415,416,3,1,27.0,0,0,8.05,1
416,417,2,1,34.0,1,1,32.5,1
417,418,2,1,18.0,0,2,13.0,1
418,419,2,0,30.0,0,0,13.0,1
419,420,3,1,10.0,0,2,24.15,1
420,421,3,0,29.0,0,0,7.8958,2
421,422,3,0,21.0,0,0,7.7333,3
422,423,3,0,29.0,0,0,7.875,1
423,424,3,1,28.0,1,1,14.4,1
424,425,3,0,18.0,1,1,20.2125,1
425,426,3,0,29.0,0,0,7.25,1
426,427,2,1,28.0,1,0,26.0,1
427,428,2,1,19.0,0,0,26.0,1
428,429,3,0,29.0,0,0,7.75,3
429,430,3,0,32.0,0,0,8.05,1
430,431,1,0,28.0,0,0,26.55,1
431,432,3,1,27.0,1,0,16.1,1
432,433,2,1,42.0,1,0,26.0,1
433,434,3,0,17.0,0,0,7.125,1
434,435,1,0,50.0,1,0,55.9,1
435,436,1,1,14.0,1,2,120.0,1
436,437,3,1,21.0,2,2,34.375,1
437,438,2,1,24.0,2,3,18.75,1
438,439,1,0,64.0,1,4,263.0,1
439,440,2,0,31.0,0,0,10.5,1
440,441,2,1,45.0,1,1,26.25,1
441,442,3,0,20.0,0,0,9.5,1
442,443,3,0,25.0,1,0,7.775,1
443,444,2,1,28.0,0,0,13.0,1
444,445,3,0,29.0,0,0,8.1125,1
445,446,1,0,4.0,0,2,81.8583,1
446,447,2,1,13.0,0,1,19.5,1
447,448,1,0,34.0,0,0,26.55,1
448,449,3,1,5.0,2,1,19.2583,2
449,450,1,0,52.0,0,0,30.5,1
450,451,2,0,36.0,1,2,27.75,1
451,452,3,0,29.0,1,0,19.9667,1
452,453,1,0,30.0,0,0,27.75,2
453,454,1,0,49.0,1,0,89.1042,2
454,455,3,0,29.0,0,0,8.05,1
455,456,3,0,29.0,0,0,7.8958,2
456,457,1,0,65.0,0,0,26.55,1
457,458,1,1,27.0,1,0,51.8625,1
458,459,2,1,50.0,0,0,10.5,1
459,460,3,0,29.0,0,0,7.75,3
460,461,1,0,48.0,0,0,26.55,1
461,462,3,0,34.0,0,0,8.05,1
462,463,1,0,47.0,0,0,38.5,1
463,464,2,0,48.0,0,0,13.0,1
464,465,3,0,29.0,0,0,8.05,1
465,466,3,0,38.0,0,0,7.05,1
466,467,2,0,29.0,0,0,0.0,1
467,468,1,0,56.0,0,0,26.55,1
468,469,3,0,29.0,0,0,7.725,3
469,470,3,1,0.75,2,1,19.2583,2
470,471,3,0,29.0,0,0,7.25,1
471,472,3,0,38.0,0,0,8.6625,1
472,473,2,1,33.0,1,2,27.75,1
473,474,2,1,23.0,0,0,13.7917,2
474,475,3,1,22.0,0,0,9.8375,1
475,476,1,0,29.0,0,0,52.0,1
476,477,2,0,34.0,1,0,21.0,1
477,478,3,0,29.0,1,0,7.0458,1
478,479,3,0,22.0,0,0,7.5208,1
479,480,3,1,2.0,0,1,12.2875,1
480,481,3,0,9.0,5,2,46.9,1
481,482,2,0,29.0,0,0,0.0,1
482,483,3,0,50.0,0,0,8.05,1
483,484,3,1,63.0,0,0,9.5875,1
484,485,1,0,25.0,1,0,91.0792,2
485,486,3,1,27.0,3,1,25.4667,1
486,487,1,1,35.0,1,0,90.0,1
487,488,1,0,58.0,0,0,29.7,2
488,489,3,0,30.0,0,0,8.05,1
489,490,3,0,9.0,1,1,15.9,1
490,491,3,0,29.0,1,0,19.9667,1
491,492,3,0,21.0,0,0,7.25,1
492,493,1,0,55.0,0,0,30.5,1
493,494,1,0,71.0,0,0,49.5042,2
494,495,3,0,21.0,0,0,8.05,1
495,496,3,0,29.0,0,0,14.4583,2
496,497,1,1,54.0,1,0,78.2667,2
497,498,3,0,29.0,0,0,15.1,1
498,499,1,1,25.0,1,2,151.55,1
499,500,3,0,24.0,0,0,7.7958,1
500,501,3,0,17.0,0,0,8.6625,1
501,502,3,1,21.0,0,0,7.75,3
502,503,3,1,27.0,0,0,7.6292,3
503,504,3,1,37.0,0,0,9.5875,1
504,505,1,1,16.0,0,0,86.5,1
505,506,1,0,18.0,1,0,108.9,2
506,507,2,1,33.0,0,2,26.0,1
507,508,1,0,29.0,0,0,26.55,1
508,509,3,0,28.0,0,0,22.525,1
509,510,3,0,26.0,0,0,56.4958,1
510,511,3,0,29.0,0,0,7.75,3
511,512,3,0,29.0,0,0,8.05,1
512,513,1,0,36.0,0,0,26.2875,1
513,514,1,1,54.0,1,0,59.4,2
514,515,3,0,24.0,0,0,7.4958,1
515,516,1,0,47.0,0,0,34.0208,1
516,517,2,1,34.0,0,0,10.5,1
517,518,3,0,29.0,0,0,24.15,3
518,519,2,1,36.0,1,0,26.0,1
519,520,3,0,32.0,0,0,7.8958,1
520,521,1,1,30.0,0,0,93.5,1
521,522,3,0,22.0,0,0,7.8958,1
522,523,3,0,29.0,0,0,7.225,2
523,524,1,1,44.0,0,1,57.9792,2
524,525,3,0,29.0,0,0,7.2292,2
525,526,3,0,40.5,0,0,7.75,3
526,527,2,1,50.0,0,0,10.5,1
527,528,1,0,29.0,0,0,221.7792,1
528,529,3,0,39.0,0,0,7.925,1
529,530,2,0,23.0,2,1,11.5,1
530,531,2,1,2.0,1,1,26.0,1
531,532,3,0,29.0,0,0,7.2292,2
532,533,3,0,17.0,1,1,7.2292,2
533,534,3,1,27.0,0,2,22.3583,2
534,535,3,1,30.0,0,0,8.6625,1
535,536,2,1,7.0,0,2,26.25,1
536,537,1,0,45.0,0,0,26.55,1
537,538,1,1,30.0,0,0,106.425,2
538,539,3,0,29.0,0,0,14.5,1
539,540,1,1,22.0,0,2,49.5,2
540,541,1,1,36.0,0,2,71.0,1
541,542,3,1,9.0,4,2,31.275,1
542,543,3,1,11.0,4,2,31.275,1
543,544,2,0,32.0,1,0,26.0,1
544,545,1,0,50.0,1,0,106.425,2
545,546,1,0,64.0,0,0,26.0,1
546,547,2,1,19.0,1,0,26.0,1
547,548,2,0,29.0,0,0,13.8625,2
548,549,3,0,33.0,1,1,20.525,1
549,550,2,0,8.0,1,1,36.75,1
550,551,1,0,17.0,0,2,110.8833,2
551,552,2,0,27.0,0,0,26.0,1
552,553,3,0,29.0,0,0,7.8292,3
553,554,3,0,22.0,0,0,7.225,2
554,555,3,1,22.0,0,0,7.775,1
555,556,1,0,62.0,0,0,26.55,1
556,557,1,1,48.0,1,0,39.6,2
557,558,1,0,29.0,0,0,227.525,2
558,559,1,1,39.0,1,1,79.65,1
559,560,3,1,36.0,1,0,17.4,1
560,561,3,0,29.0,0,0,7.75,3
561,562,3,0,40.0,0,0,7.8958,1
562,563,2,0,28.0,0,0,13.5,1
563,564,3,0,29.0,0,0,8.05,1
564,565,3,1,27.0,0,0,8.05,1
565,566,3,0,24.0,2,0,24.15,1
566,567,3,0,19.0,0,0,7.8958,1
567,568,3,1,29.0,0,4,21.075,1
568,569,3,0,29.0,0,0,7.2292,2
569,570,3,0,32.0,0,0,7.8542,1
570,571,2,0,62.0,0,0,10.5,1
571,572,1,1,53.0,2,0,51.4792,1
572,573,1,0,36.0,0,0,26.3875,1
573,574,3,1,27.0,0,0,7.75,3
574,575,3,0,16.0,0,0,8.05,1
575,576,3,0,19.0,0,0,14.5,1
576,577,2,1,34.0,0,0,13.0,1
577,578,1,1,39.0,1,0,55.9,1
578,579,3,1,27.0,1,0,14.4583,2
579,580,3,0,32.0,0,0,7.925,1
580,581,2,1,25.0,1,1,30.0,1
581,582,1,1,39.0,1,1,110.8833,2
582,583,2,0,54.0,0,0,26.0,1
583,584,1,0,36.0,0,0,40.125,2
584,585,3,0,29.0,0,0,8.7125,2
585,586,1,1,18.0,0,2,79.65,1
586,587,2,0,47.0,0,0,15.0,1
587,588,1,0,60.0,1,1,79.2,2
588,589,3,0,22.0,0,0,8.05,1
589,590,3,0,29.0,0,0,8.05,1
590,591,3,0,35.0,0,0,7.125,1
591,592,1,1,52.0,1,0,78.2667,2
592,593,3,0,47.0,0,0,7.25,1
593,594,3,1,27.0,0,2,7.75,3
594,595,2,0,37.0,1,0,26.0,1
595,596,3,0,36.0,1,1,24.15,1
596,597,2,1,27.0,0,0,33.0,1
597,598,3,0,49.0,0,0,0.0,1
598,599,3,0,29.0,0,0,7.225,2
599,600,1,0,49.0,1,0,56.9292,2
600,601,2,1,24.0,2,1,27.0,1
601,602,3,0,29.0,0,0,7.8958,1
602,603,1,0,29.0,0,0,42.4,1
603,604,3,0,44.0,0,0,8.05,1
604,605,1,0,35.0,0,0,26.55,2
605,606,3,0,36.0,1,0,15.55,1
606,607,3,0,30.0,0,0,7.8958,1
607,608,1,0,27.0,0,0,30.5,1
608,609,2,1,22.0,1,2,41.5792,2
609,610,1,1,40.0,0,0,153.4625,1
610,611,3,1,39.0,1,5,31.275,1
611,612,3,0,29.0,0,0,7.05,1
612,613,3,1,27.0,1,0,15.5,3
613,614,3,0,29.0,0,0,7.75,3
614,615,3,0,35.0,0,0,8.05,1
615,616,2,1,24.0,1,2,65.0,1
616,617,3,0,34.0,1,1,14.4,1
617,618,3,1,26.0,1,0,16.1,1
618,619,2,1,4.0,2,1,39.0,1
619,620,2,0,26.0,0,0,10.5,1
620,621,3,0,27.0,1,0,14.4542,2
621,622,1,0,42.0,1,0,52.5542,1
622,623,3,0,20.0,1,1,15.7417,2
623,624,3,0,21.0,0,0,7.8542,1
