,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
6,7,1,0,54.0,0,0,51.8625,1
112,113,3,0,22.0,0,0,8.05,1
384,385,3,0,29.0,0,0,7.8958,1
858,859,3,1,24.0,0,3,19.2583,2
70,71,2,0,32.0,0,0,10.5,1
772,773,2,1,57.0,0,0,10.5,1
121,122,3,0,29.0,0,0,8.05,1
325,326,1,1,36.0,0,0,135.6333,2
755,756,2,0,0.67,1,1,14.5,1
445,446,1,0,4.0,0,2,81.8583,1
338,339,3,0,45.0,0,0,8.05,1
296,297,3,0,23.5,0,0,7.2292,2
193,194,2,0,3.0,1,1,26.0,1
213,214,2,0,30.0,0,0,13.0,1
619,620,2,0,26.0,0,0,10.5,1
93,94,3,0,26.0,1,2,20.575,1
426,427,2,1,28.0,1,0,26.0,1
416,417,2,1,34.0,1,1,32.5,1
401,402,3,0,26.0,0,0,8.05,1
146,147,3,0,27.0,0,0,7.7958,1
535,536,2,1,7.0,0,2,26.25,1
850,851,3,0,4.0,4,2,31.275,1
422,423,3,0,29.0,0,0,7.875,1
160,161,3,0,44.0,0,1,16.1,1
506,507,2,1,33.0,0,2,26.0,1
9,10,2,1,14.0,1,0,30.0708,2
513,514,1,1,54.0,1,0,59.4,2
181,182,2,0,29.0,0,0,15.05,2
250,251,3,0,29.0,0,0,7.25,1
125,126,3,0,12.0,1,0,11.2417,2
688,689,3,0,18.0,0,0,7.7958,1
80,81,3,0,22.0,0,0,9.0,1
548,549,3,0,33.0,1,1,20.525,1
712,713,1,0,48.0,1,0,52.0,1
410,411,3,0,29.0,0,0,7.8958,1
247,248,2,1,24.0,0,2,14.5,1
463,464,2,0,48.0,0,0,13.0,1
721,722,3,0,17.0,1,0,7.0542,1
202,203,3,0,34.0,0,0,6.4958,1
771,772,3,0,48.0,0,0,7.8542,1
726,727,2,1,30.0,3,0,21.0,1
569,570,3,0,32.0,0,0,7.8542,1
602,603,1,0,29.0,0,0,42.4,1
94,95,3,0,59.0,0,0,7.25,1
27,28,1,0,19.0,3,2,263.0,1
876,877,3,0,20.0,0,0,9.8458,1
667,668,3,0,29.0,0,0,7.775,1
413,414,2,0,29.0,0,0,0.0,1
285,286,3,0,33.0,0,0,8.6625,2
574,575,3,0,16.0,0,0,8.05,1
621,622,1,0,42.0,1,0,52.5542,1
434,435,1,0,50.0,1,0,55.9,1
677,678,3,1,18.0,0,0,9.8417,1
352,353,3,0,15.0,1,1,7.2292,2
852,853,3,1,9.0,1,1,15.2458,2
239,240,2,0,33.0,0,0,12.275,1
138,139,3,0,16.0,0,0,9.2167,1
383,384,1,1,35.0,1,0,52.0,1
332,333,1,0,38.0,0,1,153.4625,1
485,486,3,1,27.0,3,1,25.4667,1
379,380,3,0,19.0,0,0,7.775,1
254,255,3,1,41.0,0,2,20.2125,1
133,134,2,1,29.0,1,0,26.0,1
533,534,3,1,27.0,0,2,22.3583,2
626,627,2,0,57.0,0,0,12.35,3
451,452,3,0,29.0,1,0,19.9667,1
294,295,3,0,24.0,0,0,7.8958,1
713,714,3,0,29.0,0,0,9.4833,1
683,684,3,0,14.0,5,2,46.9,1
631,632,3,0,51.0,0,0,7.0542,1
685,686,2,0,25.0,1,2,41.5792,2
12,13,3,0,20.0,0,0,8.05,1
311,312,1,1,18.0,2,2,262.375,2
35,36,1,0,42.0,1,0,52.0,1
817,818,2,0,31.0,1,1,37.0042,2
718,719,3,0,29.0,0,0,15.5,3
606,607,3,0,30.0,0,0,7.8958,1
681,682,1,0,27.0,0,0,76.7292,2
260,261,3,0,29.0,0,0,7.75,3
786,787,3,1,18.0,0,0,7.4958,1
797,798,3,1,31.0,0,0,8.6833,1
791,792,2,0,16.0,0,0,26.0,1
757,758,2,0,18.0,0,0,11.5,1
402,403,3,1,21.0,1,0,9.825,1
290,291,1,1,26.0,0,0,78.85,1
18,19,3,1,31.0,1,0,18.0,1
428,429,3,0,29.0,0,0,7.75,3
492,493,1,0,55.0,0,0,30.5,1
264,265,3,1,27.0,0,0,7.75,3
380,381,1,1,42.0,0,0,227.525,2
644,645,3,1,0.75,2,1,19.2583,2
173,174,3,0,21.0,0,0,7.925,1
603,604,3,0,44.0,0,0,8.05,1
227,228,3,0,20.5,0,0,7.25,1
153,154,3,0,40.5,0,2,14.5,1
682,683,3,0,20.0,0,0,9.225,1
676,677,3,0,24.5,0,0,8.05,1
525,526,3,0,40.5,0,0,7.75,3
365,366,3,0,30.0,0,0,7.25,1
62,63,1,0,45.0,1,0,83.475,1
347,348,3,1,27.0,1,0,16.1,1
507,508,1,0,29.0,0,0,26.55,1
275,276,1,1,63.0,1,0,77.9583,1
807,808,3,1,18.0,0,0,7.775,1
695,696,2,0,52.0,0,0,13.5,1
613,614,3,0,29.0,0,0,7.75,3
597,598,3,0,49.0,0,0,0.0,1
408,409,3,0,21.0,0,0,7.775,1
438,439,1,0,64.0,1,4,263.0,1
875,876,3,1,15.0,0,0,7.225,2
64,65,1,0,29.0,0,0,27.7208,2
382,383,3,0,32.0,0,0,7.925,1
591,592,1,1,52.0,1,0,78.2667,2
96,97,1,0,71.0,0,0,34.6542,2
458,459,2,1,50.0,0,0,10.5,1
301,302,3,0,29.0,2,0,23.25,3
827,828,2,0,1.0,0,2,37.0042,2
299,300,1,1,50.0,0,1,247.5208,2
292,293,2,0,36.0,0,0,12.875,2
414,415,3,0,44.0,0,0,7.925,1
849,850,1,1,27.0,1,0,89.1042,2
465,466,3,0,38.0,0,0,7.05,1
190,191,2,1,32.0,0,0,13.0,1
240,241,3,1,27.0,1,0,14.4542,2
24,25,3,1,8.0,3,1,21.075,1
149,150,2,0,42.0,0,0,13.0,1
331,332,1,0,45.5,0,0,28.5,1
504,505,1,1,16.0,0,0,86.5,1
872,873,1,0,33.0,0,0,5.0,1
59,60,3,0,11.0,5,2,46.9,1
715,716,3,0,19.0,0,0,7.65,1
834,835,3,0,18.0,0,0,8.3,1
866,867,2,1,27.0,1,0,13.8583,2
666,667,2,0,25.0,0,0,13.0,1
126,127,3,0,29.0,0,0,7.75,3
814,815,3,0,30.5,0,0,8.05,1
148,149,2,0,36.5,0,2,26.0,1
183,184,2,0,1.0,2,1,39.0,1
773,774,3,0,29.0,0,0,7.225,2
442,443,3,0,25.0,1,0,7.775,1
462,463,1,0,47.0,0,0,38.5,1
660,661,1,0,50.0,2,0,133.65,1
219,220,2,0,30.0,0,0,10.5,1
13,14,3,0,39.0,1,5,31.275,1
577,578,1,1,39.0,1,0,55.9,1
885,886,3,1,39.0,0,5,29.125,3
39,40,3,1,14.0,1,0,11.2417,2
701,702,1,0,35.0,0,0,26.2875,1
147,148,3,1,9.0,2,2,34.375,1
109,110,3,1,27.0,1,0,24.15,3
154,155,3,0,29.0,0,0,7.3125,1
97,98,1,0,23.0,0,1,63.3583,2
205,206,3,1,2.0,0,1,10.4625,1
659,660,1,0,58.0,0,2,113.275,2
297,298,1,1,2.0,1,2,151.55,1
848,849,2,0,28.0,0,1,33.0,1
29,30,3,0,29.0,0,0,7.8958,1
779,780,1,1,43.0,0,1,211.3375,1
886,887,2,0,27.0,0,0,13.0,1
825,826,3,0,29.0,0,0,6.95,3
73,74,3,0,26.0,1,0,14.4542,2
503,504,3,1,37.0,0,0,9.5875,1
350,351,3,0,23.0,0,0,9.225,1
11,12,1,1,58.0,0,0,26.55,1
473,474,2,1,23.0,0,0,13.7917,2
833,834,3,0,23.0,0,0,7.8542,1
144,145,2,0,18.0,0,0,11.5,1
646,647,3,0,19.0,0,0,7.8958,1
579,580,3,0,32.0,0,0,7.925,1
60,61,3,0,22.0,0,0,7.2292,2
3,4,1,1,35.0,1,0,53.1,1
562,563,2,0,28.0,0,0,13.5,1
356,357,1,1,22.0,0,1,55.0,1
867,868,1,0,31.0,0,0,50.4958,1
717,718,2,1,27.0,0,0,10.5,1
593,594,3,1,27.0,0,2,7.75,3
251,252,3,1,29.0,1,1,10.4625,1
865,866,2,1,42.0,0,0,13.0,1
744,745,3,0,31.0,0,0,7.925,1
576,577,2,1,34.0,0,0,13.0,1
665,666,2,0,32.0,2,0,73.5,1
441,442,3,0,20.0,0,0,9.5,1
386,387,3,0,1.0,5,2,46.9,1
298,299,1,0,29.0,0,0,30.5,1
289,290,3,1,22.0,0,0,7.75,3
355,356,3,0,28.0,0,0,9.5,1
731,732,3,0,11.0,0,0,18.7875,2
747,748,2,1,30.0,0,0,13.0,1
276,277,3,1,45.0,0,0,7.75,1
4,5,3,0,35.0,0,0,8.05,1
323,324,2,1,22.0,1,1,29.0,1
280,281,3,0,65.0,0,0,7.75,3
102,103,1,0,21.0,0,1,77.2875,1
725,726,3,0,20.0,0,0,8.6625,1
399,400,2,1,28.0,0,0,12.65,1
225,226,3,0,22.0,0,0,9.35,1
46,47,3,0,29.0,1,0,15.5,3
20,21,2,0,35.0,0,0,26.0,1
269,270,1,1,35.0,0,0,135.6333,1
722,723,2,0,34.0,0,0,13.0,1
108,109,3,0,38.0,0,0,7.8958,1
748,749,1,0,19.0,1,0,53.1,1
493,494,1,0,71.0,0,0,49.5042,2
511,512,3,0,29.0,0,0,8.05,1
42,43,3,0,29.0,0,0,7.8958,2
351,352,1,0,29.0,0,0,35.0,1
863,864,3,1,27.0,8,2,69.55,1
550,551,1,0,17.0,0,2,110.8833,2
730,731,1,1,29.0,0,0,211.3375,1
194,195,1,1,44.0,0,0,27.7208,2
159,160,3,0,29.0,8,2,69.55,1
756,757,3,0,28.0,0,0,7.7958,1
130,131,3,0,33.0,0,0,7.8958,2
214,215,3,0,29.0,1,0,7.75,3
50,51,3,0,7.0,4,1,39.6875,1
436,437,3,1,21.0,2,2,34.375,1
787,788,3,0,8.0,4,1,29.125,3
95,96,3,0,29.0,0,0,8.05,1
526,527,2,1,50.0,0,0,10.5,1
822,823,1,0,38.0,0,0,0.0,1
840,841,3,0,20.0,0,0,7.925,1
521,522,3,0,22.0,0,0,7.8958,1
185,186,1,0,29.0,0,0,50.0,1
272,273,2,1,41.0,0,1,19.5,1
565,566,3,0,24.0,2,0,24.15,1
123,124,2,1,32.5,0,0,13.0,1
418,419,2,0,30.0,0,0,13.0,1
842,843,1,1,30.0,0,0,31.0,2
38,39,3,1,18.0,2,0,18.0,1
689,690,1,1,15.0,0,1,211.3375,1
420,421,3,0,29.0,0,0,7.8958,2
732,733,2,0,29.0,0,0,0.0,1
607,608,1,0,27.0,0,0,30.5,1
510,511,3,0,29.0,0,0,7.75,3
51,52,3,0,21.0,0,0,7.8,1
359,360,3,1,27.0,0,0,7.8792,3
452,453,1,0,30.0,0,0,27.75,2
637,638,2,0,31.0,1,1,26.25,1
529,530,2,0,23.0,2,1,11.5,1
517,518,3,0,29.0,0,0,24.15,3
82,83,3,1,27.0,0,0,7.7875,3
87,88,3,0,29.0,0,0,8.05,1
761,762,3,0,41.0,0,0,7.125,1
16,17,3,0,2.0,4,1,29.125,3
612,613,3,1,27.0,1,0,15.5,3
520,521,1,1,30.0,0,0,93.5,1
692,693,3,0,29.0,0,0,56.4958,1
489,490,3,0,9.0,1,1,15.9,1
563,564,3,0,29.0,0,0,8.05,1
72,73,2,0,21.0,0,0,73.5,1
878,879,3,0,29.0,0,0,7.8958,1
475,476,1,0,29.0,0,0,52.0,1
197,198,3,0,42.0,0,1,8.4042,1
632,633,1,0,32.0,0,0,30.5,2
124,125,1,0,54.0,0,1,77.2875,1
432,433,2,1,42.0,1,0,26.0,1
459,460,3,0,29.0,0,0,7.75,3
439,440,2,0,31.0,0,0,10.5,1
669,670,1,1,27.0,1,0,52.0,1
255,256,3,1,29.0,0,2,15.2458,2
221,222,2,0,27.0,0,0,13.0,1
79,80,3,1,30.0,0,0,12.475,1
267,268,3,0,25.0,1,0,7.775,1
187,188,1,0,45.0,0,0,26.55,1
320,321,3,0,22.0,0,0,7.25,1
515,516,1,0,47.0,0,0,34.0208,1
478,479,3,0,22.0,0,0,7.5208,1
617,618,3,1,26.0,1,0,16.1,1
372,373,3,0,19.0,0,0,8.05,1
738,739,3,0,29.0,0,0,7.8958,1
368,369,3,1,27.0,0,0,7.75,3
367,368,3,1,27.0,0,0,7.2292,2
560,561,3,0,29.0,0,0,7.75,3
259,260,2,1,50.0,0,1,26.0,1
256,257,1,1,27.0,0,0,79.2,2
86,87,3,0,16.0,1,3,34.375,1
222,223,3,0,51.0,0,0,8.05,1
516,517,2,1,34.0,0,0,10.5,1
316,317,2,1,24.0,1,0,26.0,1
411,412,3,0,29.0,0,0,6.8583,3
587,588,1,0,60.0,1,1,79.2,2
215,216,1,1,31.0,1,0,113.275,2
709,710,3,0,29.0,1,1,15.2458,2
580,581,2,1,25.0,1,1,30.0,1
412,413,1,1,33.0,1,0,90.0,3
805,806,3,0,31.0,0,0,7.775,1
364,365,3,0,29.0,1,0,15.5,3
620,621,3,0,27.0,1,0,14.4542,2
437,438,2,1,24.0,2,3,18.75,1
883,884,2,0,28.0,0,0,10.5,1
321,322,3,0,27.0,0,0,7.8958,1
663,664,3,0,36.0,0,0,7.4958,1
864,865,2,0,24.0,0,0,13.0,1
101,102,3,0,29.0,0,0,7.8958,1
687,688,3,0,19.0,0,0,10.1708,1
625,626,1,0,61.0,0,0,32.3208,1
860,861,3,0,41.0,2,0,14.1083,1
182,183,3,0,9.0,4,2,31.3875,1
549,550,2,0,8.0,1,1,36.75,1
161,162,2,1,40.0,0,0,15.75,1
395,396,3,0,22.0,0,0,7.7958,1
258,259,1,1,35.0,0,0,512.3292,2
785,786,3,0,25.0,0,0,7.25,1
488,489,3,0,30.0,0,0,8.05,1
724,725,1,0,27.0,1,0,53.1,1
263,264,1,0,40.0,0,0,0.0,1
245,246,1,0,44.0,2,0,90.0,3
686,687,3,0,14.0,4,1,39.6875,1
780,781,3,1,13.0,0,0,7.2292,2
385,386,2,0,18.0,0,0,73.5,1
266,267,3,0,16.0,4,1,39.6875,1
118,119,1,0,24.0,0,1,247.5208,2
268,269,1,1,58.0,0,1,153.4625,1
573,574,3,1,27.0,0,0,7.75,3
729,730,3,1,25.0,1,0,7.925,1
234,235,2,0,24.0,0,0,10.5,1
92,93,1,0,46.0,1,0,61.175,1
287,288,3,0,22.0,0,0,7.8958,1
394,395,3,1,24.0,0,2,16.7,1
84,85,2,1,17.0,0,0,10.5,1
243,244,3,0,22.0,0,0,7.125,1
802,803,1,0,11.0,1,2,120.0,1
534,535,3,1,30.0,0,0,8.6625,1
879,880,1,1,56.0,0,1,83.1583,2
487,488,1,0,58.0,0,0,29.7,2
869,870,3,0,4.0,1,1,11.1333,1
218,219,1,1,32.0,0,0,76.2917,2
768,769,3,0,29.0,1,0,24.15,3
137,138,1,0,37.0,1,0,53.1,1
650,651,3,0,29.0,0,0,7.8958,1
65,66,3,0,29.0,1,1,15.2458,2
374,375,3,1,3.0,3,1,21.075,1
634,635,3,1,9.0,3,2,27.9,1
837,838,3,0,29.0,0,0,8.05,1
628,629,3,0,26.0,0,0,7.8958,1
630,631,1,0,80.0,0,0,30.0,1
37,38,3,0,21.0,0,0,8.05,1
476,477,2,0,34.0,1,0,21.0,1
527,528,1,0,29.0,0,0,221.7792,1
409,410,3,1,27.0,3,1,25.4667,1
376,377,3,1,22.0,0,0,7.25,1
100,101,3,1,28.0,0,0,7.8958,1
162,163,3,0,26.0,0,0,7.775,1
328,329,3,1,31.0,1,1,20.525,1
636,637,3,0,32.0,0,0,7.925,1
453,454,1,0,49.0,1,0,89.1042,2
700,701,1,1,18.0,1,0,227.525,2
455,456,3,0,29.0,0,0,7.8958,2
734,735,2,0,23.0,0,0,13.0,1
596,597,2,1,27.0,0,0,33.0,1
295,296,1,0,29.0,0,0,27.7208,2
116,117,3,0,70.5,0,0,7.75,3
334,335,1,1,27.0,1,0,133.65,1
155,156,1,0,51.0,0,1,61.3792,2
158,159,3,0,29.0,0,0,8.6625,1
812,813,2,0,35.0,0,0,10.5,1
558,559,1,1,39.0,1,1,79.65,1
820,821,1,1,52.0,1,1,93.5,1
737,738,1,0,35.0,0,0,512.3292,2
559,560,3,1,36.0,1,0,17.4,1
723,724,2,0,50.0,0,0,13.0,1
23,24,1,0,28.0,0,0,35.5,1
47,48,3,1,27.0,0,0,7.75,3
304,305,3,0,29.0,0,0,8.05,1
387,388,2,1,36.0,0,0,13.0,1
88,89,1,1,23.0,3,2,263.0,1
208,209,3,1,16.0,0,0,7.75,3
662,663,1,0,47.0,0,0,25.5875,1
0,1,3,0,22.0,1,0,7.25,1
128,129,3,1,27.0,1,1,22.3583,2
857,858,1,0,51.0,0,0,26.55,1
538,539,3,0,29.0,0,0,14.5,1
10,11,3,1,4.0,1,1,16.7,1
555,556,1,0,62.0,0,0,26.55,1
845,846,3,0,42.0,0,0,7.55,1
415,416,3,1,27.0,0,0,8.05,1
710,711,1,1,24.0,0,0,49.5042,2
306,307,1,1,27.0,0,0,110.8833,2
77,78,3,0,29.0,0,0,8.05,1
652,653,3,0,21.0,0,0,8.4333,1
119,120,3,1,2.0,4,2,31.275,1
424,425,3,0,18.0,1,1,20.2125,1
252,253,1,0,62.0,0,0,26.55,1
163,164,3,0,17.0,0,0,8.6625,1
859,860,3,0,29.0,0,0,7.2292,2
728,729,2,0,25.0,1,0,26.0,1
567,568,3,1,29.0,0,4,21.075,1
198,199,3,1,27.0,0,0,7.75,3
581,582,1,1,39.0,1,1,110.8833,2
174,175,1,0,56.0,0,0,30.6958,2
605,606,3,0,36.0,1,0,15.55,1
881,882,3,0,33.0,0,0,7.8958,1
678,679,3,1,43.0,1,6,46.9,1
164,165,3,0,1.0,4,1,39.6875,1
319,320,1,1,40.0,1,1,134.5,2
353,354,3,0,25.0,1,0,17.8,1
610,611,3,1,39.0,1,5,31.275,1
841,842,2,0,16.0,0,0,10.5,1
882,883,3,1,22.0,0,0,10.5167,1
589,590,3,0,29.0,0,0,8.05,1
330,331,3,1,27.0,2,0,23.25,3
501,502,3,1,21.0,0,0,7.75,3
307,308,1,1,17.0,1,0,108.9,2
798,799,3,0,30.0,0,0,7.2292,2
839,840,1,0,29.0,0,0,29.7,2
546,547,2,1,19.0,1,0,26.0,1
175,176,3,0,18.0,1,1,7.8542,1
635,636,2,1,28.0,0,0,13.0,1
117,118,2,0,29.0,1,0,21.0,1
400,401,3,0,39.0,0,0,7.925,1
152,153,3,0,55.5,0,0,8.05,1
884,885,3,0,25.0,0,0,7.05,1
494,495,3,0,21.0,0,0,8.05,1
75,76,3,0,25.0,0,0,7.65,1
360,361,3,0,40.0,1,4,27.9,1
813,814,3,1,6.0,4,2,31.275,1
22,23,3,1,15.0,0,0,8.0292,3
349,350,3,0,42.0,0,0,8.6625,1
794,795,3,0,25.0,0,0,7.8958,1
312,313,2,1,26.0,1,1,26.0,1
739,740,3,0,29.0,0,0,7.8958,1
104,105,3,0,37.0,2,0,7.925,1
85,86,3,1,33.0,3,0,15.85,1
599,600,1,0,49.0,1,0,56.9292,2
836,837,3,0,21.0,0,0,8.6625,1
373,374,1,0,22.0,0,0,135.6333,2
497,498,3,0,29.0,0,0,15.1,1
405,406,2,0,34.0,1,0,21.0,1
302,303,3,0,19.0,0,0,0.0,1
638,639,3,1,41.0,0,5,39.6875,1
804,805,3,0,27.0,0,0,6.975,1
329,330,1,1,16.0,0,1,57.9792,2
83,84,1,0,28.0,0,0,47.1,1
231,232,3,0,29.0,0,0,7.775,1
127,128,3,0,24.0,0,0,7.1417,1
615,616,2,1,24.0,1,2,65.0,1
57,58,3,0,28.5,0,0,7.2292,2
67,68,3,0,19.0,0,0,8.1583,1
270,271,1,0,29.0,0,0,31.0,1
443,444,2,1,28.0,0,0,13.0,1
1,2,1,1,38.0,1,0,71.2833,2
877,878,3,0,19.0,0,0,7.8958,1
880,881,2,1,25.0,0,1,26.0,1
698,699,1,0,49.0,1,1,110.8833,2
544,545,1,0,50.0,1,0,106.425,2
282,283,3,0,16.0,0,0,9.5,1
821,822,3,0,27.0,0,0,8.6625,1
658,659,2,0,23.0,0,0,13.0,1
233,234,3,1,5.0,4,2,31.3875,1
808,809,2,0,39.0,0,0,13.0,1
249,250,2,0,54.0,1,0,26.0,1
608,609,2,1,22.0,1,2,41.5792,2
508,509,3,0,28.0,0,0,22.525,1
230,231,1,1,35.0,1,0,83.475,1
170,171,1,0,61.0,0,0,33.5,1
456,457,1,0,65.0,0,0,26.55,1
530,531,2,1,2.0,1,1,26.0,1
90,91,3,0,29.0,0,0,8.05,1
571,572,1,1,53.0,2,0,51.4792,1
55,56,1,0,29.0,0,0,35.5,1
469,470,3,1,0.75,2,1,19.2583,2
770,771,3,0,24.0,0,0,9.5,1
309,310,1,1,30.0,0,0,56.9292,2
819,820,3,0,10.0,3,2,27.9,1
480,481,3,0,9.0,5,2,46.9,1
257,258,1,1,30.0,0,0,86.5,1
120,121,2,0,21.0,2,0,73.5,1
705,706,2,0,39.0,0,0,26.0,1
220,221,3,0,16.0,0,0,8.05,1
870,871,3,0,26.0,0,0,7.8958,1
466,467,2,0,29.0,0,0,0.0,1
672,673,2,0,70.0,0,0,10.5,1
157,158,3,0,30.0,0,0,8.05,1
789,790,1,0,46.0,0,0,79.2,2
5,6,3,0,29.0,0,0,8.4583,3
363,364,3,0,35.0,0,0,7.05,1
745,746,1,0,70.0,1,1,71.0,1
253,254,3,0,30.0,1,0,16.1,1
281,282,3,0,28.0,0,0,7.8542,1
404,405,3,1,20.0,0,0,8.6625,1
335,336,3,0,29.0,0,0,7.8958,1
486,487,1,1,35.0,1,0,90.0,1
799,800,3,1,30.0,1,1,24.15,1
674,675,2,0,29.0,0,0,0.0,1
322,323,2,1,30.0,0,0,12.35,3
186,187,3,1,27.0,1,0,15.5,3
244,245,3,0,30.0,0,0,7.225,2
454,455,3,0,29.0,0,0,8.05,1
874,875,2,1,28.0,1,0,24.0,2
490,491,3,0,29.0,1,0,19.9667,1
398,399,2,0,23.0,0,0,10.5,1
89,90,3,0,24.0,0,0,8.05,1
627,628,1,1,21.0,0,0,77.9583,1
675,676,3,0,18.0,0,0,7.775,1
811,812,3,0,39.0,0,0,24.15,1
423,424,3,1,28.0,1,1,14.4,1
279,280,3,1,35.0,1,1,20.25,1
206,207,3,0,32.0,1,0,15.85,1
760,761,3,0,29.0,0,0,14.5,1
578,579,3,1,27.0,1,0,14.4583,2
246,247,3,1,25.0,0,0,7.775,1
707,708,1,0,42.0,0,0,26.2875,1
740,741,1,0,29.0,0,0,30.0,1
618,619,2,1,4.0,2,1,39.0,1
308,309,2,0,30.0,1,0,24.0,2
889,890,1,0,26.0,0,0,30.0,2
706,707,2,1,45.0,0,0,13.5,1
40,41,3,1,40.0,1,0,9.475,1
388,389,3,0,29.0,0,0,7.7292,3
224,225,1,0,38.0,1,0,90.0,1
129,130,3,0,45.0,0,0,6.975,1
178,179,2,0,30.0,0,0,13.0,1
184,185,3,1,4.0,0,2,22.025,1
522,523,3,0,29.0,0,0,7.225,2
195,196,1,1,58.0,0,0,146.5208,2
536,537,1,0,45.0,0,0,26.55,1
782,783,1,0,29.0,0,0,30.0,1
291,292,1,1,19.0,1,0,91.0792,2
43,44,2,1,3.0,1,2,41.5792,2
430,431,1,0,28.0,0,0,26.55,1
110,111,1,0,47.0,0,0,52.0,1
765,766,1,1,51.0,1,0,77.9583,1
557,558,1,0,29.0,0,0,227.525,2
774,775,2,1,54.0,1,3,23.0,1
853,854,1,1,16.0,0,1,39.4,1
303,304,2,1,27.0,0,0,12.35,3
801,802,2,1,31.0,1,1,26.25,1
315,316,3,1,26.0,0,0,7.8542,1
317,318,2,0,54.0,0,0,14.0,1
74,75,3,0,32.0,0,0,56.4958,1
131,132,3,0,20.0,0,0,7.05,1
601,602,3,0,29.0,0,0,7.8958,1
212,213,3,0,22.0,0,0,7.25,1
793,794,1,0,29.0,0,0,30.6958,2
145,146,2,0,19.0,1,1,36.75,1
524,525,3,0,29.0,0,0,7.2292,2
21,22,2,0,34.0,0,0,13.0,1
616,617,3,0,34.0,1,1,14.4,1
391,392,3,0,21.0,0,0,7.7958,1
141,142,3,1,22.0,0,0,7.75,1
691,692,3,1,4.0,0,1,13.4167,2
539,540,1,1,22.0,0,2,49.5,2
477,478,3,0,29.0,1,0,7.0458,1
36,37,3,0,29.0,0,0,7.2292,2
228,229,2,0,18.0,0,0,13.0,1
474,475,3,1,22.0,0,0,9.8375,1
271,272,3,0,25.0,0,0,0.0,1
788,789,3,0,1.0,1,2,20.575,1
460,461,1,0,48.0,0,0,26.55,1
704,705,3,0,26.0,1,0,7.8542,1
584,585,3,0,29.0,0,0,8.7125,2
177,178,1,1,50.0,0,0,28.7125,2
305,306,1,0,0.92,1,2,151.55,1
514,515,3,0,24.0,0,0,7.4958,1
714,715,2,0,52.0,0,0,13.0,1
622,623,3,0,20.0,1,1,15.7417,2
440,441,2,1,45.0,1,1,26.25,1
91,92,3,0,20.0,0,0,7.8542,1
26,27,3,0,29.0,0,0,7.225,2
63,64,3,0,4.0,3,2,27.9,1
851,852,3,0,74.0,0,0,7.775,1
435,436,1,1,14.0,1,2,120.0,1
8,9,3,1,27.0,0,2,11.1333,1
